Gene,ReadID,Coverage %,Identity %,Resistance
aac(3)-IVa,e34fd8ac-5b2b-4fd4-8578-73f2f32ba6be,98.98,95.33,Gentamicin;Tobramycin
aac(6')-Ib-cr,ab298d9c-ded3-4b55-a780-e8980cb852cb,98.17,93.36,Ciprofloxacin
aadA1,bc5ab71d-24dc-43c4-89d7-4c7f18992b9f,95.82,91.46,Streptomycin
ant(2'')-Ia,297e759f-41c6-4470-b973-7fbe48267865,94.57,94.44,Gentamicin;Tobramycin
ant(2'')-Ia,6dfa4ec8-8775-4fa0-893d-f6c02d393d3f,99.06,96.46,Gentamicin;Tobramycin
ant(2'')-Ia,80bf2876-5437-46cb-b09e-b418bece73e2,99.06,93.92,Gentamicin;Tobramycin
ant(2'')-Ia,da4acd9d-2289-406e-95ff-6cd563bef1ea,97.94,94.64,Gentamicin;Tobramycin
ant(3'')-Ia,83b468d0-fc81-4f02-bab8-0efdcf4f7da6,81.79,93.48,Streptomycin
ant(6)-Ia,63696664-77dc-469e-8bc2-17aec99757e6,98.39,94.19,Streptomycin
aph(3'')-Ib,5059c5e7-ecd8-4efa-94eb-1a02d1ee6743,97.01,94.74,Streptomycin
aph(3'')-Ib,c6b041db-9c48-41d9-bb94-19e6248097a2,93.66,92.93,Streptomycin
aph(6)-Id,22edebb7-6f45-41e3-9bec-078152dd123b,98.09,92.54,Streptomycin
aph(6)-Id,c6b041db-9c48-41d9-bb94-19e6248097a2,95.46,90.22,Streptomycin
blaOXA-347,7b75e98f-3d61-4f5c-9397-35c6781677e3,99.88,98.8,Unknown
blaOXA-347,b118728e-92b5-4e15-9a67-a4b715b5c4c0,98.79,94.62,Unknown
blaOXY-6-2,69600f2d-2158-4122-a49a-bfd4db0dea39,99.2,96.25,Unknown
blaTEM-156,58f07b04-b548-475a-a0b4-adf1635e1d9a,98.61,94.37,Unknown
catB3,863ed268-2db0-4e5b-8cee-2828aeb2cce4,99.21,96.21,Chloramphenicol
cphA5,42ea73ef-0975-47bf-af4e-23aa7b706bd0,97.12,91.74,Unknown
cphA5,909f28e0-168a-410c-8ab5-fb71b783f131,96.6,92.08,Unknown
dfrA1,b4e36086-7001-4448-8e36-501b9f2fa54e,98.1,96.02,Trimethoprim
dfrA1,d8b07c8d-b115-4f51-b5ac-3761f87aacf3,97.68,95.79,Trimethoprim
dfrA17,67eb6b57-7dbe-4fbd-a6c7-a3027d2746b1,98.73,95.82,Trimethoprim
dfrA17,82a963aa-3ffd-4240-88a2-7dbd34843f62,99.37,97.48,Trimethoprim
dfrA20,3cb43d11-e4b1-42e4-9b10-fd70ab5a2fec,98.63,95.33,Trimethoprim
dfrA20,69a400aa-e3c9-4e0f-b2f8-2ce80cb2a55e,98.63,94.02,Trimethoprim
ere(D),ffffd503-afed-4916-a127-bd50cedf2549,98.37,91.59,Erythromycin
erm(B),1d2fa529-474f-4d03-b37a-cde3dd3df20c,99.34,97.13,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(B),5f39e340-975d-4c0d-8e77-55bf66bb992a,92.13,94.08,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(C),119c6526-f060-4103-8cec-4497f3cc5e52,99.05,95.96,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(C),2bc322fb-bb90-416c-a91e-f3e248fd882d,99.32,97.57,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(C),364b4cde-ff70-4bcc-a0b0-99d90f35057a,99.46,94.64,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(C),4082c1a6-1fe5-4f5c-ac39-3d822043d5ce,97.55,95.93,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
