Gene,ReadID,Coverage %,Identity %,Resistance
aadA1,5c2644da-0577-4d21-8981-35a3924152a8,97.08,89.91,Streptomycin
aadA1,71c738d0-379e-4ab3-a209-1661b2c99b16,96.32,93.51,Streptomycin
aadA1,e58146d9-0ed8-45df-99e3-b2ca84b21d8e,98.23,87.97,Streptomycin
aadA13,090a4f46-9f07-4d60-9e14-2fef2bd059a7,99.25,88.94,Streptomycin
aadA13,1dafd69d-3bab-4434-a1b9-3c9cc8448f49,98.62,88.39,Streptomycin
aadA13,554c2e15-0520-403d-82c4-3db853c2bb5b,97.62,87.97,Streptomycin
aadA13,6e235410-07dd-483e-9df4-692d3d2b5964,96.74,87.27,Streptomycin
aadA13,7d754916-3426-494f-9f69-2a52db7a2730,99.12,89.59,Streptomycin
aadA13,845d9ae0-78f8-4e42-b7a2-56b1f9b73c18,99.0,89.8,Streptomycin
aadA13,9bfdbc9e-0657-40f4-b097-954245b1fc11,97.74,86.83,Streptomycin
aadA13,ebadfed8-cf16-497f-9a6e-7b5065a68346,98.87,89.09,Streptomycin
aadA2,dc34fca7-e8f0-4fae-b78d-caef900f7dc9,97.44,95.55,Streptomycin
aadA2,e1206f2b-1346-465b-8200-f77082f6d0eb,95.73,93.73,Streptomycin
aadA24,d32c4d19-0a09-4737-8ca9-b76e1ce8516d,97.31,87.39,Streptomycin
ant(3'')-Ia,2b9d174b-0f74-47b1-b836-f895115e64a4,81.38,93.98,Streptomycin
ant(3'')-Ia,3e962dee-f1ed-4d68-b96a-6bdee1ac0673,81.07,93.23,Streptomycin
ant(3'')-Ia,3f4e5815-732b-4683-91f1-4f934b63cabb,81.28,95.43,Streptomycin
ant(3'')-Ia,77ccfc76-9f9e-4851-9b76-ae6631c7661d,81.79,93.95,Streptomycin
ant(3'')-Ia,850748cb-9f48-48d1-b5a4-f9b189eefb13,82.2,93.33,Streptomycin
ant(3'')-Ia,8c31942d-e82c-463f-a502-0425e9ef18be,80.45,89.05,Streptomycin
ant(3'')-Ia,a846b2b7-c222-4667-9cf2-4aa6666362b8,81.69,97.53,Streptomycin
ant(3'')-Ia,b04e0f56-04a9-47ff-ba31-55b9e1bc2268,81.38,95.16,Streptomycin
ant(3'')-Ia,b120d2d2-7374-4831-9c74-7741973139e5,81.69,96.39,Streptomycin
ant(3'')-Ia,bec2fa28-85e6-4c13-b646-5a3b5f490a8d,82.61,93.7,Streptomycin
ant(3'')-Ia,d994f2d3-396c-4f8a-89d5-2d4c526cf446,80.86,93.49,Streptomycin
ant(3'')-Ia,e37408d5-b0e9-480f-8b12-dd14ecff3e28,80.35,91.06,Streptomycin
ant(6)-Ia,061abe46-b647-4b41-8ee7-aa6ad502b766,96.66,93.05,Streptomycin
ant(6)-Ia,0ca8d760-d4f9-4c78-b0b7-7a055afc67d3,98.85,97.58,Streptomycin
ant(6)-Ia,1b36a638-999d-4e55-80ae-89f4bada8830,98.39,96.9,Streptomycin
ant(6)-Ia,49737e65-cd04-4932-9705-5a5a0d498b5f,95.85,88.52,Streptomycin
ant(6)-Ia,4a4b1ec4-66be-4ef2-afdd-b0133c244f0f,97.92,96.52,Streptomycin
ant(6)-Ia,4a505b91-89b1-400e-9303-41308cb6f4bf,98.73,95.63,Streptomycin
ant(6)-Ia,a740f8e0-8bb8-4f30-b98d-fafacbca2415,98.96,95.34,Streptomycin
ant(6)-Ia,aa7e249f-f4aa-4a96-8e5f-8434a9ef9e9e,97.58,93.24,Streptomycin
ant(6)-Ia,b55ed2c2-c855-4e21-a6d6-9c48986980cc,98.5,95.54,Streptomycin
ant(6)-Ia,c1f42256-2151-4c69-8221-ca0fba30b194,98.62,98.04,Streptomycin
ant(6)-Ia,cb6a5bf6-74bc-4d0d-b555-6558d3d0fe16,98.39,95.64,Streptomycin
ant(6)-Ia,d8975586-68f2-499d-92e3-df2c330ef327,98.73,96.21,Streptomycin
ant(6)-Ia,f3a16804-e21d-4c9f-b2bc-bef9d7d607ae,80.05,95.47,Streptomycin
aph(3'')-Ib,1298b925-371d-40b5-8b96-1d6b49030f83,98.13,93.97,Streptomycin
aph(3'')-Ib,1b269385-4cc5-48c0-b9ec-01e4b249980c,98.63,95.1,Streptomycin
aph(3'')-Ib,1bcbead1-b70d-4436-b4ec-030395a90056,98.63,85.8,Streptomycin
aph(3'')-Ib,4c334cb0-42e6-432f-8ddb-bc26b067137c,99.0,97.03,Streptomycin
aph(3'')-Ib,4cc77155-db25-454c-aaee-a3eb9d0b0da7,84.2,94.51,Streptomycin
aph(3'')-Ib,516e3fa1-ec0c-4543-a3e4-35b43e862261,99.0,94.73,Streptomycin
aph(3'')-Ib,574c99aa-9beb-45a4-bb46-df1096639230,98.01,95.79,Streptomycin
aph(3'')-Ib,5f33bf3e-116b-43ca-ac23-f3691d058d9b,98.38,94.16,Streptomycin
aph(3'')-Ib,619a1de8-a76a-4b30-9882-1da9fe4e32c0,97.64,95.66,Streptomycin
aph(3'')-Ib,6b8b63be-25b2-4401-ac57-60d9caffef82,97.76,92.79,Streptomycin
aph(3'')-Ib,6eeba2fb-3395-4444-8b6e-242f3557bb45,97.76,92.14,Streptomycin
aph(3'')-Ib,759b7deb-69e3-47c3-bcbf-78b286df0c91,98.01,93.61,Streptomycin
aph(3'')-Ib,7ecf3b89-56cf-4a88-b21d-54d28b0a22de,98.26,95.69,Streptomycin
aph(3'')-Ib,817b10e5-bff0-4305-87a2-56699c6b306d,97.76,94.07,Streptomycin
aph(3'')-Ib,9f5f6c17-7ed6-49bf-b945-a424b5f4e5fe,96.89,94.07,Streptomycin
aph(3'')-Ib,a55228fe-d612-44d8-81ee-6b4d38e0e107,98.76,94.81,Streptomycin
aph(3'')-Ib,b2ac1ca1-30ff-452c-9f0a-f2ee08444c22,98.13,95.06,Streptomycin
aph(3'')-Ib,c1d490bd-8a33-4ab3-a3d1-63e6a5c07365,98.13,93.96,Streptomycin
aph(3'')-Ib,c3fa5eb6-faca-43bc-96ed-4b599a2292c2,98.38,95.07,Streptomycin
aph(3'')-Ib,f2234ab7-abad-4b56-a66d-c4bf3c53d6fe,97.89,96.65,Streptomycin
aph(3'')-Ib,fe1817d2-ce74-42f1-9741-2050262f53a1,98.51,94.12,Streptomycin
aph(3')-III,aa19c622-25af-4acc-b316-ba290f6baeb0,98.24,93.05,Amikacin
aph(6)-Id,1298b925-371d-40b5-8b96-1d6b49030f83,97.61,94.3,Streptomycin
aph(6)-Id,1b269385-4cc5-48c0-b9ec-01e4b249980c,98.09,94.57,Streptomycin
aph(6)-Id,1bcbead1-b70d-4436-b4ec-030395a90056,98.21,89.41,Streptomycin
aph(6)-Id,4c334cb0-42e6-432f-8ddb-bc26b067137c,98.57,95.83,Streptomycin
aph(6)-Id,4cc77155-db25-454c-aaee-a3eb9d0b0da7,96.89,92.15,Streptomycin
aph(6)-Id,516e3fa1-ec0c-4543-a3e4-35b43e862261,98.33,94.58,Streptomycin
aph(6)-Id,574c99aa-9beb-45a4-bb46-df1096639230,99.52,95.17,Streptomycin
aph(6)-Id,5fc9dec7-c159-4c7f-9aa8-6b49fa4e29c0,87.81,96.25,Streptomycin
aph(6)-Id,619a1de8-a76a-4b30-9882-1da9fe4e32c0,98.09,95.15,Streptomycin
aph(6)-Id,6dc61334-0b38-4bf3-a758-33aeb14bee28,86.14,95.65,Streptomycin
aph(6)-Id,759b7deb-69e3-47c3-bcbf-78b286df0c91,99.16,95.63,Streptomycin
aph(6)-Id,7ecf3b89-56cf-4a88-b21d-54d28b0a22de,98.92,96.06,Streptomycin
aph(6)-Id,817b10e5-bff0-4305-87a2-56699c6b306d,98.69,96.56,Streptomycin
aph(6)-Id,8fd83253-bf79-40e2-9d99-e6aa4289f790,98.69,93.99,Streptomycin
aph(6)-Id,90bbf697-ec36-4580-be9d-0bffcaedee29,86.26,93.35,Streptomycin
aph(6)-Id,9961c63b-f688-4d93-b522-102ba7462d60,98.09,96.16,Streptomycin
aph(6)-Id,9f5f6c17-7ed6-49bf-b945-a424b5f4e5fe,97.73,93.28,Streptomycin
aph(6)-Id,b2ac1ca1-30ff-452c-9f0a-f2ee08444c22,97.37,94.91,Streptomycin
aph(6)-Id,c1d490bd-8a33-4ab3-a3d1-63e6a5c07365,98.09,93.86,Streptomycin
aph(6)-Id,c3fa5eb6-faca-43bc-96ed-4b599a2292c2,97.49,94.5,Streptomycin
aph(6)-Id,d126c430-72a3-4049-8634-4455f8f00806,96.3,91.83,Streptomycin
aph(6)-Id,e364ce68-10bc-4509-9200-f79fd0384765,98.57,94.46,Streptomycin
aph(6)-Id,e69bc218-9503-4ef0-8bdb-575d73c43eba,98.33,94.43,Streptomycin
aph(6)-Id,f0e13ec4-bd5a-4402-a411-acfbd4fb698f,99.52,96.47,Streptomycin
blaACI-1,571789ef-d21e-4a4e-8c55-f1db6de75d94,98.95,95.69,Unknown
blaACI-1,cd7e389a-9efc-45e2-9a85-804fd2153c07,99.18,96.76,Unknown
blaTEM-2,6b8b63be-25b2-4401-ac57-60d9caffef82,98.14,92.58,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
cfr(C),a6b30087-cdc8-46ca-a7fd-6eced8c5d5e2,83.37,93.75,Chloramphenicol;Florfenicol;Clindamycin;Lincomycin;Linezolid;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
cfr(C),de883269-5d07-4083-b1eb-ccc2324335a3,93.69,94.68,Chloramphenicol;Florfenicol;Clindamycin;Lincomycin;Linezolid;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
dfrA14,090a4f46-9f07-4d60-9e14-2fef2bd059a7,98.34,93.7,Trimethoprim
dfrA14,554c2e15-0520-403d-82c4-3db853c2bb5b,97.93,94.67,Trimethoprim
dfrA14,6e235410-07dd-483e-9df4-692d3d2b5964,97.52,93.03,Trimethoprim
dfrA14,845d9ae0-78f8-4e42-b7a2-56b1f9b73c18,99.38,96.3,Trimethoprim
dfrA14,9bfdbc9e-0657-40f4-b097-954245b1fc11,97.93,94.19,Trimethoprim
dfrA14,d32c4d19-0a09-4737-8ca9-b76e1ce8516d,98.14,93.61,Trimethoprim
dfrA14,ebadfed8-cf16-497f-9a6e-7b5065a68346,95.86,91.94,Trimethoprim
dfrA16,c98d23f9-0a68-43be-bad5-79f192f58511,98.95,95.18,Trimethoprim
dfrA16,ecdfa9b4-fc97-4345-bf27-510a84ec7229,94.51,93.07,Trimethoprim
dfrA7,4dd1ccab-bdbc-4418-9792-75ecd9c969f5,99.3,94.97,Trimethoprim
ere(A),dc34fca7-e8f0-4fae-b78d-caef900f7dc9,81.98,95.5,Erythromycin
ere(A),e1206f2b-1346-465b-8200-f77082f6d0eb,81.24,93.23,Erythromycin
erm(42),9bca47c9-e186-482b-8adc-d960cdc36b79,97.24,91.78,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(B),301aa25e-0d6e-45ab-8acc-d75bf5f33a74,90.16,91.52,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(B),4e746ea8-4281-493d-aff4-0da37a43201f,98.16,93.08,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
floR,01bc7ab1-0c52-41ea-ba65-09298ed0d9d0,98.6,92.48,Chloramphenicol;Florfenicol
floR,05add93a-69f7-43a5-8500-5c8c833ff9b3,98.85,91.57,Chloramphenicol;Florfenicol
floR,0d532994-1ee4-43ef-a28b-6fed355e1957,98.11,91.7,Chloramphenicol;Florfenicol
floR,1127aedc-984a-4e2f-87bc-f977549cb672,99.18,95.27,Chloramphenicol;Florfenicol
floR,14df2aba-d60c-4503-8c73-e44f4522da83,98.6,93.27,Chloramphenicol;Florfenicol
floR,1b3ff40c-b611-4017-9e40-37081c5a97a2,99.09,94.3,Chloramphenicol;Florfenicol
floR,1cdcfd61-fb3a-48f0-b411-ad1797f56735,98.27,93.67,Chloramphenicol;Florfenicol
floR,1ce63d95-b899-4056-8912-0e9d3d561187,98.52,93.26,Chloramphenicol;Florfenicol
floR,2086d431-11c4-4b68-b0de-1f0eb071b393,97.78,86.43,Chloramphenicol;Florfenicol
floR,2a360c72-11c5-494d-98b3-dc0c00e4d69a,97.78,91.61,Chloramphenicol;Florfenicol
floR,2b287ef3-da66-4218-8c64-6f1f44bfc50b,98.02,91.2,Chloramphenicol;Florfenicol
floR,2cc64d45-14a9-4104-b067-f44a6fe4e1fe,98.44,94.26,Chloramphenicol;Florfenicol
floR,308422f6-7d80-42c4-a158-94931009d880,98.6,95.08,Chloramphenicol;Florfenicol
floR,35680d3c-4d00-4d4b-af9f-7c6d03ec9bc8,98.35,93.23,Chloramphenicol;Florfenicol
floR,358195ad-b79a-4b0d-97b6-ef75917961cf,99.18,94.06,Chloramphenicol;Florfenicol
floR,359386e0-f4e4-48a0-b757-f0c520a4e5e3,96.79,88.7,Chloramphenicol;Florfenicol
floR,394089f0-6b70-47df-aeb0-7bb57efafeda,98.44,91.89,Chloramphenicol;Florfenicol
floR,427b329b-4879-4cbe-94bf-0f86393b1d5e,98.35,90.95,Chloramphenicol;Florfenicol
floR,43f2395c-1755-4458-b665-b440be40496a,92.92,94.44,Chloramphenicol;Florfenicol
floR,4b5edfec-8d1b-4c04-ad3a-d37034f14464,92.76,93.51,Chloramphenicol;Florfenicol
floR,4d2812f1-e821-45be-8148-ef81e29cb9d7,98.85,93.46,Chloramphenicol;Florfenicol
floR,4efcd396-4cbe-4806-88a3-36d20b3144e0,96.63,88.08,Chloramphenicol;Florfenicol
floR,4f9222a0-2983-4576-94cc-29ba5f78d57d,97.28,90.72,Chloramphenicol;Florfenicol
floR,4fa3da21-f491-432c-b71c-142689ed1d31,98.35,93.15,Chloramphenicol;Florfenicol
floR,506face0-9b1e-48cf-948a-42de2b34a145,98.52,94.27,Chloramphenicol;Florfenicol
floR,55f4dc83-c615-4292-9aa3-b3c8963333fc,96.46,92.57,Chloramphenicol;Florfenicol
floR,561dc938-cc63-4eee-a70e-e3b4ea4a1872,96.95,91.13,Chloramphenicol;Florfenicol
floR,56c051eb-b015-41aa-b5f4-c3dbadc77141,96.63,88.2,Chloramphenicol;Florfenicol
floR,706baba1-9443-4cdc-86a0-c9f36d770064,98.02,92.6,Chloramphenicol;Florfenicol
floR,72dac24c-88b7-4d04-8d99-40a506ea86b6,98.6,91.89,Chloramphenicol;Florfenicol
floR,74c6288b-fc54-43b6-a713-4e5a857fec3e,97.04,91.95,Chloramphenicol;Florfenicol
floR,778c2378-e188-4ee0-9125-3bcc40771279,98.6,93.87,Chloramphenicol;Florfenicol
floR,7ffea0bc-f7e5-4d27-a2e6-503067d17804,97.94,92.33,Chloramphenicol;Florfenicol
floR,830e0d9e-496f-4907-8c21-6091892c3ed5,95.39,87.67,Chloramphenicol;Florfenicol
floR,8714c0ff-f2b0-45b4-a056-514d4773a552,98.19,93.3,Chloramphenicol;Florfenicol
floR,886eddd6-e021-40e7-95c7-0195635fcc80,98.27,91.58,Chloramphenicol;Florfenicol
floR,8acc0bc1-2aaa-4ff7-9728-b1ff82a6ca1a,99.18,93.9,Chloramphenicol;Florfenicol
floR,8aec161d-03ac-4c2c-a205-f8e9c2cfe63c,97.7,90.9,Chloramphenicol;Florfenicol
floR,8d47db19-4477-4455-aee9-44c865556b55,95.47,88.05,Chloramphenicol;Florfenicol
floR,8d8a6710-18f0-4045-8d2c-1af699bb8f14,98.93,94.69,Chloramphenicol;Florfenicol
floR,8fd83253-bf79-40e2-9d99-e6aa4289f790,97.86,93.52,Chloramphenicol;Florfenicol
floR,94d231b5-d31e-4e19-9ea3-f6d43530a6a3,98.6,94.26,Chloramphenicol;Florfenicol
floR,98d19545-0035-4a8e-942c-d3b36ad92887,98.77,94.76,Chloramphenicol;Florfenicol
floR,9bed2483-6342-433a-b642-28acf8081b88,98.77,95.07,Chloramphenicol;Florfenicol
floR,9fb2b681-6165-4cfb-9679-f101d5094563,98.35,94.51,Chloramphenicol;Florfenicol
floR,a487203d-f540-41a2-b36a-26bce0ea90cc,96.95,90.38,Chloramphenicol;Florfenicol
floR,a60cbcd8-69ac-4564-b4c1-3ca43f5d51a9,91.69,90.56,Chloramphenicol;Florfenicol
floR,a70799f6-e34d-4552-8551-8e533efb1181,90.86,90.73,Chloramphenicol;Florfenicol
floR,a8720690-18ec-445a-be0c-da3217f5956b,98.19,91.55,Chloramphenicol;Florfenicol
floR,abe1d703-c5a0-4f8f-b303-44dc3b2ed54e,98.85,93.1,Chloramphenicol;Florfenicol
floR,b2b11e58-c8e4-4820-9926-4138d8bc6d05,91.44,89.1,Chloramphenicol;Florfenicol
floR,b5d6763d-e1b3-4966-ad1b-2700ee038419,97.94,92.5,Chloramphenicol;Florfenicol
floR,b6313c8d-57e9-4d4d-93f3-53b4a138d5d5,98.77,94.59,Chloramphenicol;Florfenicol
floR,bf8b67eb-b9b9-4f31-b9ae-0b7f0ae621be,80.0,93.27,Chloramphenicol;Florfenicol
floR,c3ec67c0-c70b-4e72-af6b-54cf25eb9cf9,98.11,91.91,Chloramphenicol;Florfenicol
floR,c42434e9-4fc2-45d0-8c5a-ec25f4359396,98.77,93.49,Chloramphenicol;Florfenicol
floR,c4735f6a-62c7-43f9-9ecd-4c2d88202d8a,98.68,92.92,Chloramphenicol;Florfenicol
floR,c640cc8a-2df6-4f37-886e-7e32322abed8,97.94,90.05,Chloramphenicol;Florfenicol
floR,ce1866a9-a23a-45d2-a953-ee40b87c4758,93.99,89.38,Chloramphenicol;Florfenicol
floR,d6124578-bde2-4efe-92e4-2c4026366549,98.93,93.42,Chloramphenicol;Florfenicol
floR,da94a3f3-1bad-49ed-a5b4-438050895dcf,98.11,91.95,Chloramphenicol;Florfenicol
floR,dbf04194-c6ae-43ec-8ac2-017f89d5dfc9,98.6,92.93,Chloramphenicol;Florfenicol
floR,e65fabea-75f6-44ad-8d3a-57f9e876e7bc,97.45,89.47,Chloramphenicol;Florfenicol
floR,e7b595ed-27fd-46d2-8cb5-dcdfbb890161,98.44,93.14,Chloramphenicol;Florfenicol
floR,e8e02073-e7f0-4296-bc73-ef327c06b659,98.35,92.3,Chloramphenicol;Florfenicol
floR,eb4c71f1-fa6b-4f40-a6cb-88cb8379849b,98.35,92.1,Chloramphenicol;Florfenicol
floR,ed0aee8a-6071-41e3-ad3a-efe208b4bb02,98.19,93.56,Chloramphenicol;Florfenicol
floR,f00d74d3-ef26-4f86-b0af-6aa9daf3e494,98.11,89.98,Chloramphenicol;Florfenicol
floR,fef7e99f-de5e-4ee4-882d-c9dcd909f4ff,97.86,92.97,Chloramphenicol;Florfenicol
floR,ff94286b-fba9-493e-94f5-b5e24a4ae033,97.45,89.69,Chloramphenicol;Florfenicol
lnu(B),036f4bd5-12e6-4d36-9a65-36c06dac4c00,98.88,98.26,Lincomycin;Clindamycin
lnu(B),77e80405-34a6-4cb5-8a6b-e16528a471be,97.76,92.89,Lincomycin;Clindamycin
lnu(B),bff1fd07-c67b-410e-b91c-5bb5dc579dc2,97.51,90.64,Lincomycin;Clindamycin
lnu(D),a192fc31-49a4-4da4-a096-76d2364e9213,97.37,82.6,Lincomycin
mef(B),1346d9eb-4335-456a-852c-35576febe67c,98.7,92.75,Erythromycin;Azithromycin
msr(D),1e8feb87-bcba-4949-8670-b1ff98799fa8,98.02,87.34,Erythromycin;Azithromycin;Telithromycin;Quinupristin;PristinamycinIA;VirginiamycinS
msr(D),9b88b5c0-010a-487c-bb76-bc9c51c0b16f,98.02,87.18,Erythromycin;Azithromycin;Telithromycin;Quinupristin;PristinamycinIA;VirginiamycinS
msr(D),d49b87b5-c214-4f3e-81c7-6b03b840d045,98.77,87.78,Erythromycin;Azithromycin;Telithromycin;Quinupristin;PristinamycinIA;VirginiamycinS
qnrD1,06547fb3-40f2-4e7e-b2af-9eef07033af2,98.76,96.61,Ciprofloxacin
qnrD1,14e15f6e-365c-42f4-becf-12ed739309c4,98.91,95.69,Ciprofloxacin
qnrD1,1f21e795-6291-4404-bc39-9709badedd18,90.85,85.3,Ciprofloxacin
qnrD1,3746f4d8-e0d2-4e97-819b-dcdba05c0fa0,96.28,89.49,Ciprofloxacin
qnrD1,7619dcc7-6de5-4ec7-b322-175232ae2417,98.14,93.85,Ciprofloxacin
qnrD1,a0afe74c-c968-4a5f-9adb-8742e6b92fe7,98.76,96.29,Ciprofloxacin
qnrD1,a2237187-2500-4210-82b6-45209a982ec4,95.97,86.66,Ciprofloxacin
qnrD1,b98e690a-92cd-4204-802a-3aac9b195648,97.83,95.39,Ciprofloxacin
qnrD1,c0b581df-d102-4a79-9ab1-9e8eed6e0cea,98.45,96.29,Ciprofloxacin
qnrD1,c85084a7-cb2e-409d-997c-07ae90067dda,97.98,94.45,Ciprofloxacin
qnrD1,e413dbb2-dbc5-4f4a-ad23-37cafd2b53d8,80.93,88.37,Ciprofloxacin
qnrD1,e5e0bd6b-5568-4fde-aa13-4c4e9a06fad8,98.91,95.53,Ciprofloxacin
qnrVC5,4a6d4b5c-a047-492c-8fe7-116ce19c6977,99.09,93.85,Ciprofloxacin
sul1,33931c03-02dd-48bc-8706-aeaf11e1bb41,98.5,95.3,Sulfamethoxazole
sul1,52245ead-21d9-406c-8265-131a8f487fc4,98.5,94.53,Sulfamethoxazole
sul1,b474a978-b61f-4b8a-a1ac-f65ac19e86c8,98.5,94.98,Sulfamethoxazole
sul1,b538540f-8940-415d-a2c6-2ec45746791f,97.35,95.06,Sulfamethoxazole
sul1,bec2fa28-85e6-4c13-b646-5a3b5f490a8d,98.04,93.28,Sulfamethoxazole
sul1,dde7c1a0-e7a6-4462-b305-ddcee0af93e2,98.85,97.01,Sulfamethoxazole
sul1,e5cf01bb-4629-4171-9038-7386afff89e3,98.5,93.64,Sulfamethoxazole
sul1,e82a9ea8-a740-407e-b8c1-e1107626ed56,99.42,95.77,Sulfamethoxazole
sul1,ec972076-2903-4513-bd65-72fe1af6e1c7,97.69,92.72,Sulfamethoxazole
sul2,0a6aa2ec-207e-41ca-89ba-7447bb1e7e51,99.14,96.25,Sulfamethoxazole
sul2,0cf3b1f4-6260-45c5-add5-e9799d1ce9ae,81.5,88.95,Sulfamethoxazole
sul2,238aaa52-fb3a-4f0e-85ac-ae14312cd12a,92.16,83.94,Sulfamethoxazole
sul2,558c182b-b7bb-4f5d-8c4b-b616fe9f70a4,98.16,93.83,Sulfamethoxazole
sul2,58068c85-c5b4-4ff9-8e0e-41487d6a928a,96.83,94.27,Sulfamethoxazole
sul2,5eac518e-be73-43db-a8a1-1a7857988db3,98.9,94.56,Sulfamethoxazole
sul2,5f33bf3e-116b-43ca-ac23-f3691d058d9b,97.67,91.26,Sulfamethoxazole
sul2,69fe7bfd-dd0c-457d-81ca-c1da4d3944a1,98.41,95.14,Sulfamethoxazole
sul2,7664862b-5ea4-4dc2-bc17-d30785fa5a3e,98.41,93.44,Sulfamethoxazole
sul2,7ec9f168-4bc2-457f-a182-d10d78d7ceca,98.04,92.74,Sulfamethoxazole
sul2,a81c7742-dba7-49db-b69b-7cc4b4e242c5,98.53,95.3,Sulfamethoxazole
sul2,c9bc77d2-3c73-4ad5-8863-f5fab8c5a7da,97.06,92.76,Sulfamethoxazole
sul2,e12e1145-73f8-4f14-9857-ff5d4cf91b66,98.77,96.35,Sulfamethoxazole
sul2,e5f1c228-ae5f-4b1f-8d47-f455b0d8b346,99.02,94.84,Sulfamethoxazole
tet(33),51a135b7-7cdc-4ef4-83a1-390836923c22,97.71,94.94,Doxycycline;Tetracycline
tet(33),c00c1a47-b58a-4b76-b9e9-c60b6990a3ee,98.86,93.45,Doxycycline;Tetracycline
tet(33),f4f42bf5-948a-40d1-9569-b187105cc6d5,98.53,94.81,Doxycycline;Tetracycline
tet(40),9bdd3815-4df3-40a1-9853-17e1c3939b9b,97.05,91.92,Doxycycline;Tetracycline
tet(A),829d7d28-849b-468f-9c00-ad1ff0fc8b57,96.86,96.97,Doxycycline;Tetracycline
tet(E),b3b11260-1701-4bf3-9d6e-78b2475cafc7,98.44,95.27,Doxycycline;Tetracycline
tet(H),04ec645d-5ca4-4132-be59-8d38129018d7,99.09,95.32,Doxycycline;Tetracycline
tet(H),08afbbdb-3f00-481b-bbb4-d6d46fca9657,93.85,86.4,Doxycycline;Tetracycline
tet(H),5b7f3502-e427-4265-bbed-7fcdec63760e,98.42,94.55,Doxycycline;Tetracycline
tet(H),876485bb-33be-4600-87d8-c897a279ca79,98.42,95.86,Doxycycline;Tetracycline
tet(H),938e296c-15dc-4616-b9f7-3ad3673c5209,98.75,96.03,Doxycycline;Tetracycline
tet(H),b29d92e5-34c2-40b7-aa7f-93dd17b1e35f,98.67,93.71,Doxycycline;Tetracycline
tet(H),bd8f7c99-aa99-4cfa-b559-619fc82e28db,98.25,89.81,Doxycycline;Tetracycline
tet(H),c956406b-088e-4dac-971a-5034b28b23b1,96.92,91.27,Doxycycline;Tetracycline
tet(M),1d309187-78d1-44a1-8229-6d3eae25d886,91.51,92.92,Doxycycline;Tetracycline;Minocycline
tet(M),1dd44c4b-2e84-4015-978a-1798b25be801,98.49,94.67,Doxycycline;Tetracycline;Minocycline
tet(M),2b339b13-a57b-41d2-a174-d8cef6aa06e5,98.02,95.05,Doxycycline;Tetracycline;Minocycline
tet(M),4827adcf-74d3-4091-971f-b5a430b12f24,98.54,95.28,Doxycycline;Tetracycline;Minocycline
