Gene,ReadID,Coverage %,Identity %,Resistance
aadA2,1a88d038-2ff7-4d07-853f-f91fe449ddbf,96.09,95.04,Streptomycin
ant(3'')-Ia,a21903a6-d20a-4a4a-a0f6-79e88e69f716,97.33,92.09,Streptomycin
aph(3'')-Ib,16b9e854-aff0-43ff-8c7c-d20cc35deed9,97.64,95.56,Streptomycin
aph(3'')-Ib,26b4ebee-d391-49ec-aea0-5f6330a50a96,98.76,93.97,Streptomycin
aph(3'')-Ib,cb3e08b1-0552-47a3-b9bb-ae172c10f937,98.38,95.9,Streptomycin
aph(3')-Ia,ab05b99d-537c-4220-a017-86ecf00ca2c1,97.18,91.77,Unknown
aph(3')-Ia,f244335e-2655-4eec-a918-dbc3a41f4c7c,97.06,89.56,Unknown
aph(6)-Id,16b9e854-aff0-43ff-8c7c-d20cc35deed9,98.92,96.1,Streptomycin
aph(6)-Id,6e7d9c54-27ea-46f8-9603-74005db7bcb7,99.04,91.85,Streptomycin
blaDHA-12,2994369b-de85-4b6b-b36f-2bc44b4d8be7,89.65,92.51,Amoxicillin;Amoxicillin+Clavulanicacid;Ampicillin;Ampicillin+Clavulanicacid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanicacid
blaTEM-150,c9d87c3b-2c04-4e28-bbcb-7a1ad2e8f9d4,96.98,90.38,Unknown
cmlA1,1a88d038-2ff7-4d07-853f-f91fe449ddbf,82.7,94.21,Chloramphenicol
cmlA1,1e8fec1e-9930-47d1-9447-463c658c345b,96.59,87.83,Chloramphenicol
cmlA1,4846edca-13bc-4451-9048-f7783886f59e,92.78,91.75,Chloramphenicol
cmlA1,64ba807f-9ba8-4c40-8532-f9dd803a2702,97.78,93.72,Chloramphenicol
cmlA1,6b31057b-8095-4035-982c-a3dcb81b46b2,99.76,95.92,Chloramphenicol
cmlA1,c265abee-facd-49b5-98f4-94929752dd12,98.89,95.9,Chloramphenicol
cmlA1,e3985cea-4177-4545-8f2d-bbc09cc09e33,98.65,95.08,Chloramphenicol
dfrA1,2c684fab-7032-48f7-aa00-ace8f1b8fc1d,98.31,89.05,Trimethoprim
dfrA1,5f50a89d-5886-458f-89bc-c0cb79a09703,97.26,91.02,Trimethoprim
dfrA1,727195d7-5dc7-4c36-908e-de5f0f153b82,97.68,94.53,Trimethoprim
dfrA1,973e29e2-9051-4c14-a466-e3370203cb26,97.47,90.85,Trimethoprim
dfrA1,ddf1641a-1040-4448-ab32-ba3536bf84ca,96.62,89.35,Trimethoprim
dfrA1,df954715-e69b-4c76-95da-1a2566cef5ed,96.62,92.42,Trimethoprim
dfrA1,fb4212bf-6508-44d0-aef6-f7a86e04ab81,99.37,96.25,Trimethoprim
dfrA12,33527678-6a18-4647-9d96-f47f47684138,98.39,93.27,Trimethoprim
dfrA12,59db148a-b5f3-4373-aa5e-e0882a4e4444,99.6,97.41,Trimethoprim
dfrA12,a436f492-5e72-4f32-a6eb-755dd0f35751,98.19,94.8,Trimethoprim
dfrA14,486a83bf-e5de-4977-a812-2072006b0171,97.93,95.51,Trimethoprim
dfrA14,a9101627-8cf4-4e35-bf07-88218ecf3f73,98.34,95.06,Trimethoprim
floR,0388b347-976a-48ff-a7a0-30e83b638a80,98.77,94.76,Chloramphenicol;Florfenicol
floR,03f0b107-181d-48b8-b8ad-7ee814c869cb,97.53,90.87,Chloramphenicol;Florfenicol
floR,05b59c60-6552-4a17-ac7d-212d8e5b73fb,98.44,93.87,Chloramphenicol;Florfenicol
floR,08910a48-a0e9-4c69-9056-40f7025710a1,99.34,94.39,Chloramphenicol;Florfenicol
floR,0b7e2a02-a25c-4dda-832e-3de292a4ec70,99.59,94.19,Chloramphenicol;Florfenicol
floR,0d34affd-f95f-441a-a725-f55c151253d4,98.93,94.05,Chloramphenicol;Florfenicol
floR,14559da1-351f-42e9-a253-2aa07861018f,87.49,91.26,Chloramphenicol;Florfenicol
floR,18c1e542-6c9f-4e66-9c5d-efa85cc7c998,98.6,92.46,Chloramphenicol;Florfenicol
floR,19e4b0ba-68b7-4d63-b6b4-feb49553eaa5,97.61,92.32,Chloramphenicol;Florfenicol
floR,278fac96-835b-4f72-a402-2d222d9e56fd,97.45,89.48,Chloramphenicol;Florfenicol
floR,31100440-34c6-4180-92cd-bff91ef70044,96.95,90.52,Chloramphenicol;Florfenicol
floR,320eaf63-40d4-4ec7-814c-4b77c9a8ca1d,97.94,92.88,Chloramphenicol;Florfenicol
floR,42b84b68-dd49-4c96-8f08-869e90c1c6ef,98.35,92.28,Chloramphenicol;Florfenicol
floR,445652b3-a150-4118-b363-8cdc41a12b63,97.61,93.01,Chloramphenicol;Florfenicol
floR,452bacbe-7724-4471-9631-610543c03321,98.6,92.69,Chloramphenicol;Florfenicol
floR,5159cbff-4072-45ee-ab81-737d5876b8fe,98.27,92.8,Chloramphenicol;Florfenicol
floR,515f7354-c5a1-4218-853b-83ece56b1dd9,98.52,93.77,Chloramphenicol;Florfenicol
floR,517939f9-05c3-42b2-a9ed-238d06ec5b80,98.19,93.79,Chloramphenicol;Florfenicol
floR,5eb5cf30-4227-48d6-b55f-8da92bd34779,98.77,93.41,Chloramphenicol;Florfenicol
floR,60fe98c7-5bad-445a-b8b6-73c4e4eacbab,98.19,92.51,Chloramphenicol;Florfenicol
floR,6f8f10be-a135-4a98-bb71-fb714f30d818,98.02,89.74,Chloramphenicol;Florfenicol
floR,72ea3e87-f876-4f59-bd1a-af2db1d037de,99.18,94.69,Chloramphenicol;Florfenicol
floR,78531bcb-dd99-4329-8df1-4446136ec0b1,96.95,86.15,Chloramphenicol;Florfenicol
floR,797d1051-a1e5-4840-8a13-33ec26ee3d86,99.26,94.86,Chloramphenicol;Florfenicol
floR,7c06b640-086a-457d-97e6-adf5714ccf4a,97.78,92.16,Chloramphenicol;Florfenicol
floR,7ca909ba-cb86-48ce-99c0-5f2e7a22f06b,98.52,93.22,Chloramphenicol;Florfenicol
floR,87f4d262-f7e3-47e7-be2d-4f331d18cc42,98.52,92.0,Chloramphenicol;Florfenicol
floR,a09b6a2a-6519-4790-a3af-f5354d2cd61e,93.91,89.74,Chloramphenicol;Florfenicol
floR,a12bec96-5bd3-4309-9c68-1f3a35a7ba14,98.77,92.82,Chloramphenicol;Florfenicol
floR,aed114fd-2b3a-4b20-9cad-f37542ee5f41,98.6,92.82,Chloramphenicol;Florfenicol
