Gene,ReadID,Coverage %,Identity %,Resistance
ant(6)-Ia,03b7eef9-1430-4ff5-b50c-00126bf8b67f,98.61,85.25,Streptomycin
ant(6)-Ia,2197f23f-6315-4b3e-ac9f-235c49d50990,97.45,85.25,Streptomycin
ant(6)-Ia,231fff36-cd5e-47b2-b533-0281a9eb6c31,97.58,90.69,Streptomycin
ant(6)-Ia,75e1d45d-ac6a-40bd-8e02-bd300db3cd16,97.8,82.28,Streptomycin
ant(6)-Ia,7c84e238-5e91-4fd6-9a88-4bed8ba1bfdc,98.5,95.09,Streptomycin
ant(6)-Ia,9a08fcda-b3d5-4bd0-95bc-2e7495c53b96,98.15,93.58,Streptomycin
aph(3'')-Ib,4d31b50c-1bfe-4ea0-82af-728d7de1041d,96.89,94.53,Streptomycin
aph(3'')-Ib,e1114295-a5be-42c2-8909-73add5535db2,97.26,93.62,Streptomycin
floR,92701d44-ac41-4d28-bcfa-c2a25736cf41,97.45,91.24,Chloramphenicol;Florfenicol
lnu(B),3fcb313a-5b88-4b08-973c-1e6dd4932942,99.88,94.61,Lincomycin;Clindamycin
lnu(B),8938f430-85d3-4b88-93fb-9ffb3a79e141,99.0,95.71,Lincomycin;Clindamycin
lnu(B),b36e6ae6-ef9c-4bf2-bc04-bf4a229c9940,98.26,94.81,Lincomycin;Clindamycin
lnu(D),2c5e5d96-6950-46f0-9c1a-2a6b2726ba64,99.6,83.53,Lincomycin
lnu(D),5473a0f3-8cd8-4bea-ad9f-282f9a1f9031,98.59,80.68,Lincomycin
lnu(D),5781c53c-6228-4a8d-893c-ad4453adc39c,99.6,82.87,Lincomycin
lnu(D),6b2492d8-8616-4c10-8290-366a1e67f266,98.99,83.5,Lincomycin
lnu(D),bd7bda85-0058-42a1-be47-5141ba70a062,98.18,82.26,Lincomycin
lnu(G),0cdc0190-27c6-4834-8d37-4a6858a47877,99.63,96.14,Lincomycin
lnu(G),4cc03d2e-7d8e-4903-b9bf-fe97962ec9a4,98.01,93.04,Lincomycin
lnu(G),695ce448-7112-4cd7-93b7-6ef695bba567,97.64,89.69,Lincomycin
lnu(G),8f1dac74-861e-484d-91e3-7474f38f012a,96.27,88.86,Lincomycin
lsa(E),6b897424-a624-4cd9-aad2-3a2b7c33cc58,96.23,94.9,Lincomycin;Clindamycin;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
lsa(E),6cd530da-0d36-4959-84fa-89b84947f4c1,97.64,89.74,Lincomycin;Clindamycin;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
lsa(E),8938f430-85d3-4b88-93fb-9ffb3a79e141,98.99,96.8,Lincomycin;Clindamycin;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
lsa(E),af30d9af-8baf-477c-94e1-f4bdaebce898,97.58,91.97,Lincomycin;Clindamycin;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
lsa(E),b36e6ae6-ef9c-4bf2-bc04-bf4a229c9940,98.72,97.12,Lincomycin;Clindamycin;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
lsa(E),b7d8e5ff-41dd-49a4-8c8c-da8af86d73d7,99.33,95.3,Lincomycin;Clindamycin;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
lsa(E),b8309ddf-746d-4d67-a92d-9afaf08fdfbe,96.9,91.5,Lincomycin;Clindamycin;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
mph(N),2c5e5d96-6950-46f0-9c1a-2a6b2726ba64,97.36,83.33,Erythromycin
mph(N),5781c53c-6228-4a8d-893c-ad4453adc39c,97.14,84.92,Erythromycin
mph(N),bd7bda85-0058-42a1-be47-5141ba70a062,96.15,82.87,Erythromycin
msr(D),e7d00e68-3252-4fe7-86f3-3c4aeffebb63,83.13,84.76,Erythromycin;Azithromycin;Telithromycin;Quinupristin;PristinamycinIA;VirginiamycinS
qnrD1,00aa07f6-f971-4f4b-a9b3-f85d87f2fbec,97.98,93.7,Ciprofloxacin
sul2,cda35818-e5f7-4e3b-8aff-0b3391a4203f,98.65,94.82,Sulfamethoxazole
tet(M),7dbfa4a5-356f-4da0-ae7b-0ae459857d83,98.02,93.81,Doxycycline;Tetracycline;Minocycline
