Gene,ReadID,Coverage %,Identity %,Resistance
ARR-3,bd4a0869-2a6f-4b5a-a103-8596acab2fee,89.13,94.53,Unknown
ARR-3,d4b215f4-c448-4403-90c5-44cc95011b95,83.98,84.31,Unknown
aac(3)-IVa,4972ecaf-c3fa-40c1-87bd-373801bead68,97.96,94.8,Gentamicin;Tobramycin
aadA2,06114395-f675-4bcf-95e5-1a75ae52c35c,95.97,95.53,Streptomycin
aadA2,6b0585bd-521b-4274-90bb-a2c2f115077f,96.09,94.11,Streptomycin
aadA2,777d71f1-e6e6-4f45-a860-885531a119b8,96.46,95.53,Streptomycin
aadA2,9ab5e169-60ce-4e4c-ae3f-e675ab29a5c6,94.75,91.97,Streptomycin
aadA2,d37708fc-6f65-49c8-b033-64576f6b10b6,95.48,93.22,Streptomycin
aadA2,fa9813c2-b6a7-40f6-adfb-00ebd0c6ecf6,96.34,96.14,Streptomycin
aph(3'')-Ib,591bae52-db32-46fe-af2b-3e4024a69882,97.26,91.76,Streptomycin
aph(3'')-Ib,6d34f548-0cf8-4942-b0ea-f5c2854998e3,98.88,94.2,Streptomycin
aph(3'')-Ib,76239bd9-def2-4487-8175-83f335b75eec,98.01,95.19,Streptomycin
aph(3'')-Ib,ab8d0fcb-990e-4a92-a69c-93193d0b8562,98.38,94.09,Streptomycin
aph(3')-Ia,3b5a7d3d-b296-4e26-82dd-f0c6163e1bd1,83.82,93.02,Unknown
aph(3')-Ia,8d4d51bd-b0bc-402e-81c2-8d1c5f12cbb3,98.77,95.12,Unknown
aph(4)-Ia,4972ecaf-c3fa-40c1-87bd-373801bead68,97.66,95.44,Unknown
aph(4)-Ia,92d3b093-3119-4e8b-b21f-5f70c3c85669,97.17,94.36,Unknown
aph(6)-Id,591bae52-db32-46fe-af2b-3e4024a69882,97.73,95.7,Streptomycin
aph(6)-Id,6d34f548-0cf8-4942-b0ea-f5c2854998e3,96.77,92.11,Streptomycin
aph(6)-Id,76239bd9-def2-4487-8175-83f335b75eec,99.16,95.97,Streptomycin
blaHERA-3,beac6f37-a58d-4021-8ac3-087b4462eb08,96.91,91.47,Unknown
blaHERA-3,c7bd7069-e963-4dac-97b9-a395b8f48980,98.63,92.98,Unknown
blaOXA-1,d4b215f4-c448-4403-90c5-44cc95011b95,96.51,90.3,Amoxicillin;Amoxicillin+Clavulanicacid;Ampicillin;Ampicillin+Clavulanicacid;Cefepime;Piperacillin;Piperacillin+Tazobactam
blaTEM-1C,39b32bc2-c90b-41d4-bf70-1982611f5665,97.68,92.53,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
blaTEM-60,0d4fadfd-974f-4407-867b-aa174e5a1550,83.74,80.86,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
catA2,cb060ce9-0e3a-4f4b-beb8-cb67e40531e5,97.82,85.87,Chloramphenicol
catB3,d4b215f4-c448-4403-90c5-44cc95011b95,97.63,89.72,Chloramphenicol
cmlA1,6b0585bd-521b-4274-90bb-a2c2f115077f,98.1,93.47,Chloramphenicol
cmlA1,777d71f1-e6e6-4f45-a860-885531a119b8,98.57,95.83,Chloramphenicol
cmlA1,9ab5e169-60ce-4e4c-ae3f-e675ab29a5c6,98.65,95.51,Chloramphenicol
cmlA1,d37708fc-6f65-49c8-b033-64576f6b10b6,96.67,90.29,Chloramphenicol
