Gene,ReadID,Coverage %,Identity %,Resistance
ARR-3,6c66a3f6-8f08-419f-bb9d-9570c85bed0c,88.95,96.12,Unknown
ARR-3,70b76fec-e007-4a29-a627-7bbf03d6d327,86.56,96.83,Unknown
ARR-3,83523d51-9722-4dcc-bd0d-30409e17bb9d,88.95,94.75,Unknown
ARR-3,92304c15-06cc-461c-93b1-4a4f75c70d1c,85.27,86.99,Unknown
ARR-3,a07c3dce-0f51-47fc-960d-16b6f536a6ba,89.32,96.12,Unknown
ARR-3,ad6749a4-5043-4439-b382-4bdd7e5c589a,86.92,93.43,Unknown
aac(3)-IVa,c2033d34-b14f-447c-8bd8-26cd37a4e18f,97.96,94.33,Gentamicin;Tobramycin
aac(3)-IVa,cbb07539-6f34-41df-aac0-b4709f6e87a5,99.11,95.36,Gentamicin;Tobramycin
aac(6')-Ib-cr,15f920e3-4fea-4ece-a6d1-b566aae35118,97.83,93.71,Ciprofloxacin
aac(6')-Ib-cr,34b67f19-f180-48ec-8e5f-d8f930c93123,94.5,93.53,Ciprofloxacin
aac(6')-Ib-cr,52ddfe2b-bbcb-4500-843d-a4652d7da3cf,92.5,84.27,Ciprofloxacin
aac(6')-Ib-cr,6c66a3f6-8f08-419f-bb9d-9570c85bed0c,96.67,92.55,Ciprofloxacin
aac(6')-Ib-cr,92304c15-06cc-461c-93b1-4a4f75c70d1c,83.33,86.86,Ciprofloxacin
aac(6')-Ib-cr,f2d76c56-6a16-4216-8db2-4b229933a545,98.17,94.78,Ciprofloxacin
aadA1,1dfb1e38-9ff8-4d99-b085-110721324b8d,99.37,96.37,Streptomycin
aadA1,323b5371-1279-483c-83e9-87a9f6e896ec,99.62,93.1,Streptomycin
aadA1,b54f0405-6e35-4753-bc00-4fc7d3233f31,98.23,92.66,Streptomycin
aadA1,d8f6d5e0-b9a3-433d-b19e-b90a52ac82b8,97.47,93.07,Streptomycin
aadA1,e30de035-cff0-4572-a880-4822412bceba,96.84,87.53,Streptomycin
aadA13,5e871657-56e9-4572-a68b-fde91d1ed5b1,91.1,92.67,Streptomycin
aadA2,2bad6e6b-d6d1-4382-9314-c482f6be8134,95.6,92.97,Streptomycin
aadA2,3f59e140-cc60-404e-9362-ebda3635a3f0,95.6,95.26,Streptomycin
aadA2,4edb1d30-204b-4fc2-8f6b-90d2c1b52b09,96.58,91.85,Streptomycin
aadA2,65b0a7c5-6042-4e43-9e36-2eaa6c8f62f1,96.09,95.17,Streptomycin
aadA2,7566b5d4-67fc-4e23-90a6-78e0cfd92682,96.21,95.54,Streptomycin
aadA2,78afdeef-2e46-4ff4-9572-327957d71709,94.14,92.79,Streptomycin
aadA2,8dbb01d9-1806-4217-8581-c1ae86a01bc9,96.34,94.92,Streptomycin
aadA2,c01da1f6-1b2a-4c93-a64d-42ee6dba0146,94.63,90.66,Streptomycin
aadA2,eee4edf7-b141-4267-ac71-07c3279a5e5e,96.46,96.15,Streptomycin
aadA5,053011c1-9d2f-40b6-a225-58e9cccf16e9,97.08,95.32,Streptomycin
aadA5,134d5006-f021-4c72-b448-b3e96485c610,93.54,88.86,Streptomycin
aadA5,18bdb0f3-5e8e-46ad-bd9f-7d5825e38b94,94.17,87.01,Streptomycin
aadA5,311212df-4497-45bd-96d9-4c97fa655b25,97.72,94.24,Streptomycin
aadA5,7b969613-0150-4c33-a180-c0da4298dea3,98.48,93.13,Streptomycin
aadA5,bec9dae0-0d85-47db-affd-aa73bdf38617,87.83,95.89,Streptomycin
aadA5,c93f5f39-551f-495d-8fb6-60d1f101ade3,82.0,92.81,Streptomycin
ant(3'')-Ia,0daa7ba7-b4c2-4d72-8296-b2f6082819ea,80.86,86.98,Streptomycin
ant(3'')-Ia,123a7f9f-7492-4fa4-a573-288cfc5c4d3d,80.76,92.31,Streptomycin
ant(3'')-Ia,17105dbe-77dd-4565-a83b-2cbea82eeed3,81.48,94.95,Streptomycin
ant(3'')-Ia,192cad07-39f8-429a-84b5-7bf5fad085b3,80.45,92.96,Streptomycin
ant(3'')-Ia,23d09bae-595c-477f-8d93-dc5afead3cc1,81.38,94.48,Streptomycin
ant(3'')-Ia,298c5a7f-c9f2-4df9-b99b-1042f860b8dc,80.56,92.11,Streptomycin
ant(3'')-Ia,2f05eeb1-e74b-41d8-9924-468244b630fc,81.28,94.48,Streptomycin
ant(3'')-Ia,389fb3b4-b2f1-41e3-9fe9-42462453c4d2,80.14,92.03,Streptomycin
ant(3'')-Ia,39d9f4d7-d11f-427f-9237-bcc43d977d5a,82.0,93.79,Streptomycin
ant(3'')-Ia,3ba05f69-9413-4a6a-905f-bbab0aef5d67,81.58,94.69,Streptomycin
