Gene,ReadID,Coverage %,Identity %,Resistance
aac(3)-Id,c6eee3f6-f02d-4cd8-b078-d292091a0b31,95.18,90.36,Gentamicin
aac(6')-Ib-cr,0edb1178-6233-45a9-895f-d9ca208c53c2,98.5,95.07,Ciprofloxacin
aac(6')-Ib-cr,1410c1ae-f5b0-46c7-bca1-e7ee20dae50b,94.83,86.07,Ciprofloxacin
aac(6')-Ib-cr,157f2fa6-4b4d-4e3d-acf3-d2c5b396cd9c,98.17,93.93,Ciprofloxacin
aac(6')-Ib-cr,2e5bada8-a653-4df5-8bb3-10fd47e4f2f8,94.5,94.28,Ciprofloxacin
aac(6')-Ib-cr,41bbd2f0-adba-4c4f-9c38-e96b01ce318c,98.17,92.08,Ciprofloxacin
aac(6')-Ib-cr,4ddd1166-300d-441f-88c5-f326f7488b95,98.5,93.88,Ciprofloxacin
aac(6')-Ib-cr,71cfbbc6-1189-4f73-94b0-0d01f1594a93,94.17,96.52,Ciprofloxacin
aac(6')-Ib-cr,b5cdbb2f-a29d-4588-97d2-e7f5f7ced4d7,99.5,97.52,Ciprofloxacin
aac(6')-Ib-cr,c57dd24a-87c6-458a-a8b3-e6b271a71002,94.33,87.56,Ciprofloxacin
aac(6')-Ib-cr,c86d0ba1-4030-44d0-b42a-e6d620708984,98.67,94.72,Ciprofloxacin
aac(6')-Ib-cr,cb654fed-3703-45ce-8c5d-39a277c3a231,98.67,96.03,Ciprofloxacin
aac(6')-Ib-cr,e45c7e89-1192-4741-8047-4c27b210a05c,97.83,92.36,Ciprofloxacin
aac(6')-Ib-cr,e77342a1-9508-40fc-8bdf-fc63588e22b2,95.83,91.82,Ciprofloxacin
aac(6')-Ib-cr,f7bc12e3-15d9-4594-9438-d52f2d4c7e51,98.5,93.55,Ciprofloxacin
aac(6')-Ib-cr,f927e219-405d-46be-be6c-bbf1196a9511,99.33,95.72,Ciprofloxacin
aadA2,a931cdf7-f723-4246-be68-c9404bd62adf,97.19,95.69,Streptomycin
aadA2,f75a2a63-3efa-4b40-b607-9d6bd06579c6,96.09,94.92,Streptomycin
aadA5,09a9bd7b-9143-436b-aaca-687c81c53885,93.79,85.97,Streptomycin
aadA5,1f02d7c7-6e96-4076-a113-7a0a74b1e386,98.86,94.74,Streptomycin
aadA5,2b57dac9-01d1-45b5-b1c2-2eb5280fb5af,97.21,92.36,Streptomycin
aadA5,439b3f30-9a81-485a-9bed-c2405a4bc211,98.1,96.57,Streptomycin
aadA5,6ed8faba-895d-4931-b159-6b00e3189529,98.35,97.08,Streptomycin
aadA5,79aab54c-c995-49f4-9492-f84d756e9fd2,92.27,93.56,Streptomycin
aadA5,9567e18a-f758-43c8-a914-eaf229df89e4,97.08,96.51,Streptomycin
aadA5,a8cc0c30-a414-490a-afb2-40fa34012327,95.82,90.65,Streptomycin
