Gene,ReadID,Coverage %,Identity %,Resistance
aadA2,370e6dc3-a477-4db3-a174-0b247bcdfc50,96.58,96.27,Streptomycin
aadA2,ad450e94-b0ef-4798-a2ac-21bcbdc93f0a,94.38,91.68,Streptomycin
blaROB-1,b667f707-6ed2-4157-9373-ac7cf0a6dcee,97.06,93.0,Unknown
cfr(C),ef4fd3d5-8775-4357-b3c2-7e0363fcdbca,81.61,94.93,Chloramphenicol;Florfenicol;Clindamycin;Lincomycin;Linezolid;Dalfopristin;PristinamycinIIA;VirginiamycinM;Tiamulin
cmlA1,346700c0-c1ac-4b0d-9e9a-e8f7bb9ec267,99.13,96.69,Chloramphenicol
cmlA1,49ce1e72-10c3-4a93-a99b-66c9a7acae1d,97.62,94.01,Chloramphenicol
cmlA1,ad450e94-b0ef-4798-a2ac-21bcbdc93f0a,98.17,91.99,Chloramphenicol
dfrA12,370e6dc3-a477-4db3-a174-0b247bcdfc50,86.95,95.93,Trimethoprim
dfrA12,610d5d79-70cb-47b2-92b3-c5656f20a2f6,98.59,96.42,Trimethoprim
dfrD,e81431b4-16c8-4f34-8d74-4c40dd893e0b,97.55,95.91,Trimethoprim
erm(C),840cc603-5466-4607-a8a1-dc2039148a4f,99.59,97.98,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
erm(C),c66474d4-b68d-4ab0-94b3-22df4cd926ea,96.87,92.56,Erythromycin;Lincomycin;Clindamycin;Quinupristin;PristinamycinIA;VirginiamycinS
floR,0331b9c2-d1f3-4c87-9d75-0cd88a42fca7,98.02,91.55,Chloramphenicol;Florfenicol
floR,2932c2d5-ee67-476b-a5f0-913743a2c166,97.7,90.37,Chloramphenicol;Florfenicol
floR,3dc12591-2ee3-49f8-95e6-4b9621c0ff1f,98.02,93.04,Chloramphenicol;Florfenicol
floR,45f203c4-5a12-4b4f-b33a-4baa6140a21b,98.19,92.5,Chloramphenicol;Florfenicol
floR,81747eef-741b-4fce-a1c2-58f710196431,98.02,93.78,Chloramphenicol;Florfenicol
floR,888ec2cd-dc05-42d4-88f9-775bcf12f10a,98.68,93.37,Chloramphenicol;Florfenicol
floR,89972ed9-d779-48f2-910b-2aa310f8fb51,98.19,93.07,Chloramphenicol;Florfenicol
floR,bddc1a74-65be-45e3-b8ff-cc0a155bd188,91.77,92.48,Chloramphenicol;Florfenicol
floR,d8e538a5-b4c8-4fea-b38d-bcf5bbb302f7,98.27,91.88,Chloramphenicol;Florfenicol
floR,e5ad68a4-52a8-4aa2-a6eb-04706fce6029,97.94,91.52,Chloramphenicol;Florfenicol
mcr-1.1,7d2bb216-d800-4087-82b2-04befb737a21,98.22,95.12,Colistin
qnrB19,0710164d-41a5-42ab-8ed3-fe6af3f577e6,98.29,92.51,Ciprofloxacin
qnrB19,11282a2f-7dc3-4517-9a32-589450595759,98.76,97.07,Ciprofloxacin
qnrB19,153d70d8-6d1d-40ad-8364-1756974cae52,98.76,95.99,Ciprofloxacin
